L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,1,0.0,0.41943511188892973,0,1,1,101111111100,3,true,5.0,0.8100007052128392,7.00770400467594e-16,0.5306920643364701,6.681779725312625e-16,12.0,0.75
12,9,1,4,0.0,0.41943511188892973,0,1,1,101111111100,3,false,5.0,0.8989350997940083,2.38346109115238e-16,0.7741817858952523,2.1542053543479285e-16,12.0,0.75
12,9,1,4,0.0,0.41943511188892973,0,1,1,101111111100,3,true,5.0,0.8623394459427501,7.571507566642356e-16,0.7140656104318429,7.64402439326643e-16,12.0,0.75
12,9,1,16,0.0,0.46007160076419207,0,1,1,101111111100,3,false,5.0,0.9619584997788884,9.068039395595448e-16,0.9177193429478164,9.213174638045377e-16,12.0,0.75
12,9,1,16,0.0,0.46007160076419207,0,1,1,101111111100,3,true,5.0,0.9301832648087481,1.4991901734084739e-15,0.8238758585371183,1.372016091904033e-15,12.0,0.75
12,9,1,1,0.0,0.46007160076419207,0,1,1,101111111100,3,false,5.0,0.8640831017705477,3.7074609955103335e-16,0.6741102050988234,3.6948092790865216e-16,12.0,0.75
12,9,1,1,0.0,0.46007160076419207,0,1,1,101111111100,3,true,5.0,0.7796292699488714,6.971117512853496e-16,0.4661463214767914,6.560169064934541e-16,12.0,0.75
12,9,1,4,0.0,0.46007160076419207,0,1,1,101111111100,3,false,5.0,0.8863442642287438,2.677086837477737e-16,0.756386222324574,2.468172219875565e-16,12.0,0.75
12,9,1,4,0.0,0.46007160076419207,0,1,1,101111111100,3,true,5.0,0.8475762279890149,7.541430379221365e-16,0.6951956423219721,7.352493634673643e-16,12.0,0.75
12,9,1,16,0.0,0.5046451091719216,0,1,1,101111111100,3,false,5.0,0.9562200126984799,9.074600069395796e-16,0.8969894286282809,8.868432330354596e-16,12.0,0.75
